Nombre,premioDado,totalPremiosCOD,PorcentajeGanado
Call of Duty: Warzone,10869721.17,61164177.06,17.77
Call of Duty: Modern Warfare,7500784.5,61164177.06,12.26
Call of Duty: Black Ops 4,6734938.95,61164177.06,11.01
Call of Duty: Vanguard,6321000.0,61164177.06,10.33
Call of Duty: Black Ops Cold War,6299000.0,61164177.06,10.29
Call of Duty: WWII,4578021.0,61164177.06,7.48
Call of Duty: Infinite Warfare,4166705.06,61164177.06,6.81
Call of Duty: Black Ops III,3939783.29,61164177.06,6.44
Call of Duty: Mobile,3908274.0,61164177.06,6.38
Call of Duty: Advanced Warfare,2611808.93,61164177.06,4.27
Call of Duty: Ghosts,1594185.25,61164177.06,2.6
Call of Duty: Black Ops 2,1479139.25,61164177.06,2.41
Call of Duty: Modern Warfare 3,1160815.66,61164177.06,1.89
